Unidad,Fecha_subida,Timestamp,Error,Log
9608,2024-01-30 13:07:45,2024-01-30 13:07:31,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:07:54,2024-01-30 13:07:40,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:08:29,2024-01-30 13:08:15,False,{'log': 'Batch dropping enabled. Delay: 8s.'}
9608,2024-01-30 13:11:19,2024-01-30 13:11:04,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:11:40,2024-01-30 13:11:26,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:12:34,2024-01-30 13:12:19,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:12:57,2024-01-30 13:12:43,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:13:14,2024-01-30 13:12:57,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:13:29,2024-01-30 13:13:14,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:13:47,2024-01-30 13:13:33,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:14:05,2024-01-30 13:13:50,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:14:24,2024-01-30 13:14:10,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:14:47,2024-01-30 13:14:33,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:14:58,2024-01-30 13:14:43,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:15:19,2024-01-30 13:15:05,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:15:32,2024-01-30 13:15:17,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:15:54,2024-01-30 13:15:40,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:16:05,2024-01-30 13:15:50,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:16:35,2024-01-30 13:16:20,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:16:43,2024-01-30 13:16:29,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:17:10,2024-01-30 13:16:55,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:17:18,2024-01-30 13:17:04,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:17:48,2024-01-30 13:17:33,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:17:57,2024-01-30 13:17:43,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:18:31,2024-01-30 13:18:17,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:18:41,2024-01-30 13:18:27,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:19:24,2024-01-30 13:19:09,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:19:30,2024-01-30 13:19:16,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:20:08,2024-01-30 13:19:54,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:20:17,2024-01-30 13:20:03,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:21:12,2024-01-30 13:20:58,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:21:18,2024-01-30 13:21:04,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:21:54,2024-01-30 13:21:41,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:22:03,2024-01-30 13:21:49,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:22:45,2024-01-30 13:22:30,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:22:53,2024-01-30 13:22:39,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:23:16,2024-01-30 13:23:01,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:23:30,2024-01-30 13:23:16,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:23:52,2024-01-30 13:23:37,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:24:04,2024-01-30 13:23:49,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:24:26,2024-01-30 13:24:12,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:24:38,2024-01-30 13:24:24,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:24:59,2024-01-30 13:24:44,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:25:18,2024-01-30 13:25:04,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:25:36,2024-01-30 13:25:22,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:25:47,2024-01-30 13:25:33,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:26:20,2024-01-30 13:26:06,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:26:27,2024-01-30 13:26:13,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:27:28,2024-01-30 13:27:14,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:27:35,2024-01-30 13:27:20,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:28:24,2024-01-30 13:28:10,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:28:30,2024-01-30 13:28:15,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:29:40,2024-01-30 13:29:25,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:29:46,2024-01-30 13:29:32,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:30:44,2024-01-30 13:30:31,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:30:58,2024-01-30 13:30:43,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:31:25,2024-01-30 13:31:11,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:31:37,2024-01-30 13:31:23,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:32:09,2024-01-30 13:31:54,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:32:15,2024-01-30 13:32:01,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:33:37,2024-01-30 13:33:22,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:33:42,2024-01-30 13:33:28,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
